name,number,county,counties_listed,grant_size,grant_year,governor,location,persons,locations,dates,organizations,grantors,patent_holders,coordinates,patent_acres,patent_year,patent_recipients,alternative_names,geographical_references
CANADA DE LOS VAQUEROS,#109,CONTRA COSTA COUNTY,CONTRA COSTA COUNTY,4 sq. leagues,1844,Micheltorena,,Maria B.; Jose Noriega; Antonio; Manuel; Robert Livermore; Mirando Higuera,Francisco; Micheltorena; Alameda,1889; 1844,Contra; Alviso,Micheltorena,,,,,,,
LAS JUNTAS,#113,CONTRA COSTA COUNTY,CONTRA COSTA COUNTY,"3 sq.
  leagues",1844,Micheltorena,,"Joseph Swanson; William
  Welsh",Carquinos River,1844; 1870,Contra Costa Co.,Micheltorena,,,,,,,
LAGUNA DE LOS PALOS COLORADOS,#123,CONTRA COSTA COUNTY,CONTRA COSTA COUNTY,3 sq. leagues,1841,Alvarado,,Juan Bernal; Moraga Grant; Joaquin Moraga,,1841; 1878,"Contra
  Costa Co.",Alvarado,,,,,,Moraga Grant,
LOS MEDANOS,#111,CONTRA COSTA COUNTY,Contra Costa,"2 sq.
  leagues",1839,Alvarado,"T 2N, R IE,
  MDM","Jose Antonio
  Mesa; Jose Miguel Mesa",el al,1972; 1839,New York Rancho; J. D. Stevenson; Contra Costa Co.,Alvarado,,"T 2N, R IE,
  MDM",,,,New York Rancho,
LOS MEGANOS,#110,CONTRA COSTA COUNTY,Contra Costa,,1835,Castro,"T IN, R 2-3E, MDM",Alice Marsh; Jose Noriega; Noriega; John Marsh,New York Rancho,1835; 1837; 1867,Pulpunes; Brentwood Rancho; Territorial Diputacion; Contra Costa Co.,Castro,,"T IN, R 2-3E, MDM",,,,"Pulpunes;
  Umpines; Brentwood Rancho; New York Rancho",
MONTE DEL DIABLO,#112,CONTRA COSTA COUNTY,Contra Costa,4 sq. leagues,1834,Figueroa,"T 1-2N, R 1-2E, MDM","Salvio
  Pacheco; Todos Santos",,1834; 1859,Contra Costa Co.,Figueroa,,"T 1-2N, R 1-2E, MDM",,,,,
PINOLE,#126,CONTRA COSTA COUNTY,Contra Costa,4 sq. leagues,,Alvarado; Echeandia,"T 1-2N, R 3-4W, MDM","Ygnacio Martinez; Maria Antonio Martinez de
  Richardson el al",,1842; 1868; 1829,Contra Costa Co.,Alvarado; Echeandia,,"T 1-2N, R 3-4W, MDM",,,,,
SAN PABLO,#127,CONTRA COSTA COUNTY,Contra Costa,"4 sq.
   leagues",,Arguello; Figueroa,T 1-2N,"Maria Castro; Maria Gregoria; Jesus Maria; Gabriel Vicente; Francisco Maria
   ; Victor; Antonio; Martina; Castro; Gabriela Berreyesa; Francisco M. Castro; Maria de Jesus; Alvino; Juan Jose",Francisco,1835; 1834; 1873; 1823,"Joaquin
   Isidro; Chochiyunes; Contra Costa Co.",Arguello; Figueroa,,T 1-2N,,,,Chochiyunes,
SAN RAMON (Amador),#118,CONTRA COSTA COUNTY,CONTRA COSTA COUNTY,4 sq. leagues,1835,Figueroa,"T 2-3S, R 1W-1E, MDM","Jose Maria
   ; Jose Maria Amador",Alameda,1835; 1865,Contra; Amador,Figueroa,,"T 2-3S, R 1W-1E, MDM",,,,,
SAN RAMON (Carpentier),#116,CONTRA COSTA COUNTY,Contra Costa,,1833,Figueroa,"T 1-2S, R 1-
   2W, MDM",Mariano Castro; Horace W. Carpentier,,1866; 1833,Pacheco; Bartel; Contra Costa Co. Grant,Figueroa,,"T 1-2S, R 1-
   2W, MDM",,,,Las Juntas [Carpentier],
SAN RAMON (Norris),#117,CONTRA COSTA COUNTY,Contra Costa,"3
   sq. leagues",1834,Figueroa,"T 2-3S, R 2W, MDM","Jose Maria
   ",,1882; 1834,"Amador; Leo
   Norris; Contra Costa Co.",Figueroa,,"T 2-3S, R 2W, MDM",4450.94,1882,"Leo
   Norris",,
