name,number,county,counties_listed,grant_size,grant_year,governor,location,persons,locations,dates,organizations,grantors,patent_holders,coordinates,patent_acres,patent_year,patent_recipients,alternative_names,geographical_references
RINCON DE LA PUENTE DEL MONTE,#272,MONTEREY COUNTY,Monterey,7 sq. leagues,,Figueroa; Gutierrez,"T 16S, R 5E",Teodoro Gonzales,,1842; 1866; 1836,Monterey Co. Grant,Figueroa; Gutierrez,,"T 16S, R 5E",,,,,
RINCON DE LAS SALINAS,#255,MONTEREY COUNTY,Monterey,,1833,Figueroa,T 14S,Cristina Delgado,,1881; 1833,Rafael Estrada; Monterey Co. Grant,Figueroa,,T 14S,,,,,
RINCON DE SANJON,#261,MONTEREY COUNTY,Monterey,,1840,Alvarado,T 14S,"Jose
   Eusebio Boronda; J. E. Boronda",,1860; 1840,Monterey Co. Grant,Alvarado,,T 14S,,,,,
LAS SALINAS,#257,MONTEREY COUNTY,Monterey,4 sq. leagues,,Gutierrez,"T 14S, R 2E",Antonio Aceves; Gabriel Espinosa; Linda E. Pogue; Antonio Romero,,1795; 1867; 1836,G. Espinosa; Monterey Co. Grant,Gutierrez,,"T 14S, R 2E",,,,,
SAN BENITO,#304,MONTEREY COUNTY,Monterey,,1842,Alvarado,"T 20-21S, R 8-9E, MDM","Garcia; James
   Watson",Francisco,1869; 1842,Monterey Co. Grant of I1/,Alvarado,"James
   Watson","T 20-21S, R 8-9E, MDM",6671.08,1869,"James
   Watson",,
SAN BERNABE,#303,MONTEREY COUNTY,Monterey,"3 sq.
   leagues",,Alvarado,"T 20S, R 8E, MDM",Jesus; Henry Cocks; Henry Cocks� Station,San Bernabe de Santa Cruz,1842; 1873; 1841,Monterey Co. Grant,Alvarado,,"T 20S, R 8E, MDM",,,,San Bernabe de Santa Cruz and as Henry Cocks� Station,
SAN BERNARDO (Soberanes),#306,MONTEREY COUNTY,Monterey,,1841,Alvarado,T 21-22S,Juan Soberanes,,1841; 1874,Mariano; Monterey Co. Grant,Alvarado,,T 21-22S,,,,,
SAN FRANCISQUITO (Abrego),#287,MONTEREY COUNTY,MONTEREY COUNTY,2 sq. leagues,1835,Castro,T 17S,"Milton Little; Manzaneli de Munras; Estevan
   Munras; Jose; R. Garner; Abrego",,1835; 1862,Monterey Co.; Dona,Castro,Milton Little; Abrego; Jose,T 17S,8.813.50,1862,"Jose
   Abrego for himself, and Milton Little for the minor heirs
   of Wm",,
SAN JOSE Y SER CHIQUITO,#552,MONTEREY COUNTY,Monterey,2 sq. leagues,1839,Alvarado,,Nathan W. Spaulding; Mary Ann Bassett; Bassett; Joseph S. Emory,,17S; 1888; 1839,Marcelino Escobar; Monterey Co.,Alvarado,,,,,,,
SAN LORENZO (Randall),#302,MONTEREY COUNTY,MONTEREY COUNTY,"5
   sq. leagues",1842,Alvarado,T 20S,Emory; Andrew Randall; Elizabeth Randall,Francisco,1842; 1870,Monterey Co. Grant,Alvarado,,T 20S,,,,,
SAN LORENZO (Sanchez),#300,MONTEREY COUNTY,MONTEREY COUNTY,11 sq. leagues,1846,Pico,"T 17-19S, R 8-9E",Monterey; Rafael Sanchez,San Benito,1846; 1870,,Pico,,"T 17-19S, R 8-9E",,,,,
SAN LORENZO (Soberanes),#299,MONTEREY COUNTY,Monterey,,1841,Alvarado,"T 15-20S, R 7-8E",Feliciano Soberanes,,15-20S; 1866; 1841,Monterey Co. Grant,Alvarado,,"T 15-20S, R 7-8E",,,,,
SAN LUCAS,#305,MONTEREY COUNTY,Monterey,2 sq. leagues,1842,Alvarado,,James McKinley,T21S.R9E,1842; 1872,Rafael Estrada; Monterey Co. Grant,Alvarado,,,,,,,
SAN MIGUELITO (Gonzales),#309,MONTEREY COUNTY,MONTEREY COUNTY,,1841,Alvarado,T 22-23S,"Mauricio Gonzales; Jose
   Rafael Gonzales","San Miguelito de
   ; Rafael; Trinidad",1876; 1841,Monterey Co. Grant,Alvarado,,T 22-23S,,,,"San Miguelito de
   Trinidad",
SAN VICENTE (Munras),#295,MONTEREY COUNTY,MONTEREY COUNTY,"2
   sq. leagues",,Alvarado; Castro; Gutierrez,"T 17S, R 5-6E, MDM",Jose Narciso; Francisco Figueroa; Anastacia; Francisco Soto; Engracia,"Stephen
   Munras; Antonia; Munras",the same year; 1835; 1842; 1865; 1836,Territorial Diputacion; Monterey Co. Grant,Alvarado; Castro; Gutierrez,,"T 17S, R 5-6E, MDM",,,,,
SAUCITO,#277,MONTEREY COUNTY,Monterey,,1833,Figueroa,T 15-16S,George C. Harris; John Wilson; Josiah Swain,Graciano Manjares,1862; 1833,Monterey Co. Grant,Figueroa,John Wilson,T 15-16S,2211.65,1862,John Wilson,,
SAUSAL,#264,MONTEREY COUNTY,MONTEREY COUNTY,2 sq. leagues,,Arguello; Figueroa; Pico,,"Manuel Butron; J. P. Leese; Agustin Soberanes; Castro; Jose T.
   ",R3E,1834; 1859; 1823; 1845,"Nicolas
   Alviso; Monterey Co. Grant",Arguello; Figueroa; Pico,,,10.241.88,1859,J,,
EL SUR,#288,MONTEREY COUNTY,Monterey,2 sq. leagues,,Figueroa,"T 18-
   19S, R IE, MDM",J. B. R. Cooper; Juan B. Alvarado,,1834; 1866; 19S,Monterey Co. Grant,Figueroa,,"T 18-
   19S, R IE, MDM",,,,,
EL TORO,#275,MONTEREY COUNTY,Monterey,,1835,Castro,T 15-16S,"Jose Ramon Estrada; Charles
   Walters",,1835; 1862,Monterey Co. Grant,Castro,"Charles
   Walters",T 15-16S,5.668.41,1862,"Charles
   Walters",,
EL TUCHO,#259,MONTEREY COUNTY,Monterey,,1843,,,Jose Joaquin Gomez; David Jacks,,1843; 1867,Prefect Estrada; Monterey Co. Grant,,David Jacks,,399.57,1867,David Jacks,,
LOS TULARCITOS (Gomez),#291,MONTEREY COUNTY,MONTEREY COUNTY,,1834,Figueroa,"T 17S, R 3-4E",Ysabel Johnson; R. Gomez; Gomez; Juan; Raphael Gomez,Rafael,1834; 1866; Mariana Day,Monterey Co. Grant,Figueroa,,"T 17S, R 3-4E",26.581.34,1866,"heirs
   of R",,
TWO SUERTES,#260,MONTEREY COUNTY,MONTEREY COUNTY,,1842; 1844,Alvarado; Micheltorena,T 14S,Williams; Williams Grant; Thos,,1842; 1844; 1872,Monterey Co. Grants; Coal; Gregory,Alvarado; Micheltorena,Williams,T 14S,37.69,1872,"Gregory
   and Williams","Tucho, and as Gregory and Williams Grant",
VEGA DEL RIO DE PAJARO,#222,MONTEREY COUNTY,MONTEREY COUNTY,,1820,de; Figueroa,"T PS
   R 3E, MDM",Maria Castro; Juan Francisco Anzar; Juan Miguel Anzar; Policronio Anzar; Anatolio Anzar,McDougal,1864; 1820; 1833,Monterey Co. Grant; PS,de; Figueroa,,"T PS
   R 3E, MDM",4310.29,1864,F,,
LOS VERGELES,#249,MONTEREY COUNTY,MONTEREY COUNTY,,,Castro,,Joaquin Gomez; James Stokes,San Benito; Canada,1835; 1875,Gov/Figueroa,Castro,,,,,,"Canada en Medio y
   la Canada de Ceboda",
ZANJONES,#271,MONTEREY COUNTY,MONTEREY COUNTY,,1839,Pro,T 16S,M. Malarin; Manuel Jimeno; Gabriel de la Torre,,1866; 1839,Monterey Co.,Pro,,T 16S,,,,,
CARNE HUMANA,#79,NAPA COUNTY,NAPA COUNTY,4 sq. leagues,1841; 1836,Alvarado; Chico,T 7-9N,Charles E. Hart; Higuera; Edward T. Bale; Nicolas,,1879; 1897; 1841; 1836,"Entre Napa [Hart]; Napa Co. Grant; Napa
   Co.",Alvarado; Chico,,T 7-9N,17.962.22,1879,"the heirs of
   Edward T",part of Entre Napa [Hart],
CATACULA,#82,NAPA COUNTY,NAPA COUNTY,2 sq. leagues,,Micheltorena,,Joseph B. Chiles,,1865; 1844,Napa Co. Grant,Micheltorena,,,,,,,
CAYMUS,#78,NAPA COUNTY,NAPA COUNTY,2 sq. leagues,,Gutierrez,,George C. Yount,,1863; 1836,Napa Co. Grant,Gutierrez,,,,,,,
CHIMILES,#89,NAPA COUNTY,Napa,4 sq. leagues,,Pico,"T 6N, R 2-3 W, MDM",Jose Ignacio Berreyesa; Nathan Coombs; William Gordon,,1859; 1846,Napa Co. Grant,Pico,,"T 6N, R 2-3 W, MDM",,,,,
ENTRE NAPA,#74,NAPA COUNTY,Napa,,1836,Chico,T 5N,"Nathan Coombs; Cotrell; Joseph P. Thompson; J. P. Walker; Ralph L. Kilburn; Edward Wilson; John
  Patched; Joseph Mount; Charles L. Hart; P. L. Bailey; Nicolas Higuera",Mount,1866; 1857; 1881; 1861; 1836; 1879; 1897; 1891,U.S. Courts; Napa Co. Grant; J. Green; California Land Commission,Chico,,T 5N,,,,,
HUICHICA,#72,NAPA COUNTY,NAPA COUNTY,"2 sq.
  leagues",1841,Pro; Micheltorena,T 4-6N,"Manuel Jimeno
  ; Jacob P. Leese",Sonoma,1844; 1859; 1841,,Pro; Micheltorena,,T 4-6N,,,,,
LA JOTA,#80,NAPA COUNTY,Napa,1 sq. league,,Micheltorena,,George C. Yount,,1843; 1857,Napa Co. Grant,Micheltorena,,,,,,,
LOCOALLOME,#81,NAPA COUNTY,Napa,2 sq. leagues,1841; 1845,Pro; Micheltorena,T 9N,"Martin E. Cook; Julian Pope; Jose de los Santos
  Berreyesa; Joseph Pope; Jose Santos Berreyesa; al; Manuel Jimeno",Sonoma,1845; 1873; 1862; 1841,Napa Co. Grant; Rufus Ingalls,Pro; Micheltorena,,T 9N,,,,,
NAPA,#76,NAPA COUNTY,NAPA COUNTY,,1838,Alvarado,T 5-6N,"Jas; McNeil 450 acres; Nathan Coombs; Hannah McCoombs; O. H. Frank; A. A. Ritchie; A. Farley; J. P.
  Thompson; H. G.
  Langley; Lyman Bartlett; Julian K. Rose; John
  Love; J. M. Harbin; Johnson Horrell; L. D. Brown; B. McCombs; A. L. Boggs; Salvador Vallejo; G. N. Cornwall; L. W. Boggs; Anna McDonald el al.; Keeley; John Truebody; McGarry; J. E. Brown",U.S.; Alvarado,1859; 1880; 1866; 1854; 1873; 1838; 1857; 1858; 1839; 1877; 1867; 1856,District Court; Eben Knight; Napa Co. Grant,Alvarado,,T 5-6N,,,,"Salvador�s Rancho, was granted in 1839 by Gov",
LAS PUTAS,#85,NAPA COUNTY,Napa,,1843,Micheltorena,"T 8-10N, R 3-4W,
  MDM","Jose de Jesus Berreyesa; Maria Nicolosa de Berreyesa; Maria Anastasia Higuera de
  Berreyesa; Sixto Berreyesa; Jose de
  Jesus Berreyesa",,1843; 1863,Napa Co. Grant,Micheltorena,,"T 8-10N, R 3-4W,
  MDM",,,,,
"RINCON DE LOS CARNEROS (Part of Entre Napa
   Rancho)",#73,NAPA COUNTY,Napa,,1836,,T 4-5N,Chico; Nicolas Higuera; Julius Martin,,1858; 1836,Napa Co. Grant,,,T 4-5N,,,,,
TOLENAS,#90,NAPA COUNTY,NAPA COUNTY,3 sq. leagues,1840,Alvarado,,"Antonio Maria Armijo; Jose Francisco
   ; Dolores Riesgo",,1840; 1868,Armijo,Alvarado,,,,,,Armijo grant,
TULUCAY,#75,NAPA COUNTY,NAPA COUNTY,2 sq. leagues,,Pro,T 5N,Manuel Jimeno; Cayetano Juarez,,1861; 1841,Napa Co. Grant,Pro,,T 5N,,,,,
YAJOME,#77,NAPA COUNTY,Napa,,,Alvarado,T 6N,Damaso Antonio Rodriguez,Salvador,1864; 1V2; 1841,Vallejo; Napa Co. Grant,Alvarado,,T 6N,6.652.58,1864,"Salvador
   Vallejo",,
LOS ALAMITOS,#468,ORANGE COUNTY,ORANGE COUNTY,,,Fages; Figueroa,T 4-5S,Manuel Nieto; Abel Steams; Don Manuel Nieto; Juan Jose Nieto,Los Angeles,1835; 1834; 1784; 1874,Los Nietos Rancho,Fages; Figueroa,,T 4-5S,,,,,
BOCA DE LA PLAYA,#502,ORANGE COUNTY,Orange,,1846,Pico,T 8S,,,1879; 1846,"Emigdio
  Vejar; Orange Co. Grant",Pico,,T 8S,6.607.37,1879,"Emigdio
  Vejar",,
LA BOLSA CHICA,#469,ORANGE COUNTY,Orange,"2 sq.
  leagues",1841,Fages; Alvarado; Figueroa,T 5-6S,"Dominga Yorba; Julian Aguilar; Manuel Nieto; R11W; Juan Abila; Soledad
  Yorba de Abila; Maria C. Nieto; Don Manuel
  Nieto; Dona Catarina Ruiz; LAS BOLSAS; Joaquin Ruiz; Las Bolsas; Chavis Aguilar; Dominga Yorba de Aguilar; Ramon Yorba; Jose J. Morillo",Nieto,1874; 1834; 1833; 1877; 1784; 1841,"Los
  Nietos Rancho; Orange Co. Grant",Fages; Alvarado; Figueroa,Joaquin Ruiz,T 5-6S,8.107.46,1874,Joaquin Ruiz,,
CANADA DE LOS ALISOS,#498,ORANGE COUNTY,ORANGE COUNTY,,1842,Alvarado,"T 6S, R 8W","Jose
  Serrano",,1871; 1842,Orange Co. Grant,Alvarado,"Jose
  Serrano","T 6S, R 8W",10.668.81,1871,"Jose
  Serrano",,
CANON DE SANTA ANA,#475,ORANGE COUNTY,ORANGE COUNTY,3 sq. leagues,1834,Figueroa,"T 3S, R 8-9W,
  SBM, on Santa Ana River",Bernardo Yorba,Santa Ana River; Orange; San Bernardino,1834; 1866,,Figueroa,,"T 3S, R 8-9W,
  SBM, on Santa Ana River",,,,,
LOS COYOTES,#472,ORANGE COUNTY,ORANGE COUNTY,,,Fages; Figueroa,"T 2-3S, R 10-12W, MDM","Andres Pico; Jose Juan Nieto; Manuel
  Nieto; Manuel Nieto",Los Angeles; Los Coyotes; Orange Cos,1875; 1834; 1784; 1833,Los Nietos Rancho,Fages; Figueroa,,"T 2-3S, R 10-12W, MDM",,,,,
LA HABRA,#462,ORANGE COUNTY,ORANGE COUNTY,,1839,Pro,,"Manuel
  Jimeno; Andres Pico el al; Don Mariano Rolden",Los Angeles; Orange Cos,1872; 1839,,Pro,,,,,,,
LOMAS DE SANTIAGO,#499,ORANGE COUNTY,ORANGE COUNTY,"4 sq.
   leagues",1846; 1843; 1845,Pico; Micheltorena,T 4-5S,Fermin Francisco de Lasuen; Juan Forster; Santiago Rios,Monterey; Micheltorena,1846; 1866; 1843; 1845; 1868; 1879; 1776,Orange Co.; J. S. Alemany; Teodocio Yorba; Orange Co. Mission; Church; Orange Co. Grant; Bishop; LA PAZ; MISION SAN JUAN CAPISTRANO,Pico; Micheltorena,,T 4-5S,,,,,(Rios); ( 	)
NIGUEL,#501,ORANGE COUNTY,Orange,3 sq. leagues,,Alvarado,"T 7S, R 8W, SBM",Concepcion Avila; Juan,Los Alisos,1842; 1873,Orange Co. Grant,Alvarado,Concepcion Avila; Juan,"T 7S, R 8W, SBM",13316.01,1873,"Juan and
   Concepcion Avila","Miguel, and as Los Alisos",
POTREROS DE SAN JUAN CAPISTRANO,#494,ORANGE COUNTY,ORANGE COUNTY,,1845,Pico,,Juan Forster; Los Pinos; La Cienega,Los Pinos; San Juan Capistrano,1866; 1845,"Pico to Juan Forster; El Cariso; Orange Co.; Riverside, Orange Cos; El
   Cariso; 5W (Riverside Co.; Ex
   Mission San Juan Capistrano",Pico,,,,,,"Ex
   Mission San Juan Capistrano and as San Juan Capistrano
   Mission Estate",
LA PUENTE,#460,ORANGE COUNTY,ORANGE COUNTY,,1845,Pico,T 1-2S,John Rowland; Julian; William; Workman,Los Angeles; Orange Cos,1845; 1867,Departmental Assembly; Rowland,Pico,,T 1-2S,,,,,
RINCON DE LA BREA,#461,ORANGE COUNTY,ORANGE COUNTY,1 sq. league,1841,Alvarado,T 2S,Gil Ybarra,Los Angeles; Orange Cos; Canada,1864; 1841,,Alvarado,,T 2S,,,,Canada de la Brea,
SAN JOAQUIN (Sepulveda),#500,ORANGE COUNTY,Orange,11 sq. leagues,1837,Alvarado,"T 5-7S, R 8-9W, SBM",Jose Sepulveda,San Joaquin,1837; 1842; 1867,Orange Co. Grant; Cieneja de las Ronos,Alvarado,,"T 5-7S, R 8-9W, SBM",,,,,
SAN JUAN CAJON DE SANTA ANA,#473,ORANGE COUNTY,ORANGE COUNTY,,1837,Alvarado,"T 3-4S, R 10-11W,
   SBM",J. P. Ontiveros,Alvarado; Los Angeles,1837; 1877,,Alvarado,,"T 3-4S, R 10-11W,
   SBM",,,,,
SANTIAGO DE SANTA ANA,#474,ORANGE COUNTY,Orange,11 sq. leagues,,Arrillaga,"T 4-6S, R 8-10W, SBM",Antonio Yorba; Jose Antonio Yorba; Bernardo Yorba,,1883; 1810; 1802,Orange Co. Grant,Arrillaga,,"T 4-6S, R 8-10W, SBM",,,,,
TRABUCO,#497,ORANGE COUNTY,Orange,5 sq. leagues,,Pieo,T 6-7S,Juan Forster; Santiago Arguello,,1846; 1866,Orange Co. Grant; J. Forster,Pieo,Juan Forster,T 6-7S,22.184.47,1866,Juan Forster,,
JURUPA (Rubidoux),#482,RIVERSIDE COUNTY,RIVERSIDE COUNTY,"114 sq.
   leagues",1838,Alvarado,T 2S,"Luis
   Rubidoux; Juan Bandini; Rubidoux Rancho",,1876; 1838,Riverside Co. Grant,Alvarado,"Luis
   Rubidoux",T 2S,6.749.99,1876,"Luis
   Rubidoux",Rubidoux Rancho,
JURUPA (Steams),#482,RIVERSIDE COUNTY,RIVERSIDE COUNTY,,1838,Alvarado,T 1-2S,Juan Bandini,,1879; 1838,Abel Stearns,Alvarado,,T 1-2S,,,,,
LA LAGUNA (Stearns),#495,RIVERSIDE COUNTY,RIVERSIDE COUNTY,"3 sq.
   leagues",1844,Micheltorena,"T 5-6S, R 4-5W, SBM",Abel Steams,,1844; 1872,Marnquez; Riverside Co. Grant,Micheltorena,,"T 5-6S, R 4-5W, SBM",,,,,
LAND IN THE VALLEY OF TEMECULA,#491,RIVERSIDE COUNTY,Riverside,,1845,,"T 8S, R 2W",Pico; al; Maria A. Apis,,1873; 1845,Riverside Co. Grant,,,"T 8S, R 2W",,,,,
PAUBA,#490,RIVERSIDE COUNTY,Riverside,6 sq. leagues,,Pico; Micheltorena,"T 7-8S, R 1-2W, SBM",Vicente Moraga; Luis Aranes; leagues; Luis Vignes,,1860; 1844; 1846,Riverside Co. Grant,Pico; Micheltorena,,"T 7-8S, R 1-2W, SBM",,,,,
POTREROS DE SAN JUAN CAPISTRANO,#494,RIVERSIDE COUNTY,RIVERSIDE COUNTY,,1845,Pico,,Juan Forster; Los Pinos; La Cienega,Los Pinos; San Juan Capistrano,1866; 1845,"Orange
  Co.; El Cariso; Riverside, Orange Cos; Ex-Mission San
  Juan Capistrano; El
   Cariso",Pico,,,,,,"Ex-Mission San
  Juan Capistrano, and as San Juan Capistrano Mission
  estate",
EL RINCON (Yorba),#476,RIVERSIDE COUNTY,RIVERSIDE COUNTY,1 sq. league,1839,Alvarado,T 3S,Juan Bandini; Bernardo Yorba; San Bernardino,Santa Ana River,1879; 1839,,Alvarado,,T 3S,,,,,
SAN JACINTO,#489,RIVERSIDE COUNTY,RIVERSIDE COUNTY,4 sq. leagues,1842,Pro,"T 4-5S, R
  IE-1 W, SBM",Manuel Jimeno; Jose Antonio Estudillo; Viejo,San Jacinto,1842; 1888,Riverside Co. Grant,Pro,,"T 4-5S, R
  IE-1 W, SBM",,,,San Jacinto Viejo,
SAN JACINTO NUEVO Y POTRERO,#487,RIVERSIDE COUNTY,Riverside,,1846; 1843,Pico; Micheltorena,,"Santiago Johnson; Louis Rubidoux; Miguel
  Pedrorena; Potrero
  San",,1883; 1843; 1846; 1872,"Riverside
  Co.; Riverside Co. Grant",Pico; Micheltorena,,,,,,"Potrero
  San Jacinto Nuevo",
SANTA ROSA (Moreno),#493,RIVERSIDE COUNTY,Riverside,"3
  sq. leagues",1846,Pico,"T 7-8S, R 3-4W, SBM",Juan Moreno,,1846; 1872,Riverside Co. Grant,Pico,Juan Moreno,"T 7-8S, R 3-4W, SBM",47815.10,1872,Juan Moreno,,
LA SIERRA (Sepulveda),#484,RIVERSIDE COUNTY,RIVERSIDE COUNTY,"4
   sq. leagues",1846,Pico,T 3S,Vicente Sepulveda,,1877; 1846,La Sierra Santa Ana; Riverside Co. Grant,Pico,,T 3S,,,,,
LA SIERRA (Yorba),#485,RIVERSIDE COUNTY,Riverside,"4 sq.
   leagues",1846,Pico,T 3-4S,Bernardo Yorba; La Sierra,Santa Ana,1875; 1846,Riverside Co. Grant,Pico,,T 3-4S,17.786.89,1875,"Bernardo
   Yorba","La Sierra
   Santa Ana",
SOBRANTE DE SAN JACINTO,#486,RIVERSIDE COUNTY,Riverside,5 sq. leagues,1846,Pico,"T 3-4S, R 4-6W",Viejo,Nuevo; San,1846; 1867,"Riverside Co.; Maria del Rosario Estudillo
   ; Maria del Rosario Estudillo Aguirre",Pico,,"T 3-4S, R 4-6W",,,,"San
   Jacinto Viejo y Nuevo",
TEMECULA,#492,RIVERSIDE COUNTY,Riverside,6 sq. leagues,1844,Micheltorena,"T 7-8S, R 2-3W, SBM",Luis Vignes,,1860; 1844,Felix Valdez; Riverside Co. Grant,Micheltorena,Luis Vignes,"T 7-8S, R 2-3W, SBM",26608.94,1860,Luis Vignes,,
ARROYO SECO (Pico),#99,SACRAMENTO COUNTY,SACRAMENTO COUNTY,11 sq. leagues,1840,,T 5-6N,"Herman Wohler el al; Joseph Mora Moss; H. W.
   Carpentier","Sacramento; San
   ; Teodosia Yorba; Alvarado",1840; 1863,Amador,,,T 5-6N,,,,,
COSUMNES,#94,SACRAMENTO COUNTY,Sacramento,11 sq. leagues,1844,Micheltorena,,"W. E. P. Hartnell; E. P.
   ; Maria Teresa de la Guerra",el al.,1869; 1844,Hartnell; Sacramento Co.,Micheltorena,,,,,,,
DEL PASO,#96,SACRAMENTO COUNTY,Sacramento,10 sq. leagues,1844,Micheltorena,"T 9-1 ON, R 5-6E, MDM",Haggin; Norris; Samuel,,1844; 1858,Sacramento Co. Grant; Rancho de los Americanos,Micheltorena,Norris; Samuel,"T 9-1 ON, R 5-6E, MDM",44371.42,1858,"Samuel
   Norris","Rancho de los Americanos, and as the Haggin grant",
NEW HELVETIA,#20,SACRAMENTO COUNTY,SACRAMENTO COUNTY,11 sq. leagues,1841,Alvarado,"T 8-9N and 12-15N, R 3-5E,
   MDM",Yuba; John A. Sutter,Sacramento,1866; 1841,,Alvarado,,"T 8-9N and 12-15N, R 3-5E,
   MDM",,,,Sutter�s Grant,
OMOCHUMNES,#95,SACRAMENTO COUNTY,Sacramento,"5 sq.
   leagues",,Alvarado; Micheltorena,T 6-8N,Catherine Sheldon el al,,1870; 1844; 1841,Sacramento Co. Grant; Sheldon,Alvarado; Micheltorena,,T 6-8N,,,,,
RIO DE LOS AMERICANOS,#98,SACRAMENTO COUNTY,SACRAMENTO COUNTY,8 sq. leagues,1844,Micheltorena,T 8-9N,"Folson; Joseph L.
   ; Henry W. Helleck el al",Micheltorena,1864; 1844,Lcidesdorff; Sacramento Co.,Micheltorena,,T 8-9N,,,,,
SANJON DE LOS MOQUELUMNES,#93,SACRAMENTO COUNTY,SACRAMENTO COUNTY,8 sq. leagues,1844,,T 5-6N,Anastasio Chabolla; Micheltorena,Sacramento; San Joaquin,1865; 1844,,,,T 5-6N,,,,,
SAN JUAN,#97,SACRAMENTO COUNTY,Sacramento,4/2 sq. leagues,1844,Micheltorena,T 9-ION,Joel P. Dedmond,,1860; 1844,Sacramento Co. Grant,Micheltorena,,T 9-ION,19.982.70,1860,"Hiram
   Grimes",,
LAS AROMITAS Y AGUA CALIENTE,#242,SAN BENITO COUNTY,SAN BENITO COUNTY,,1835,Castro,T 12S,Juan Francisco Anzar; Frederick A. McDougal; Juan Miguel Anzar,,1835; 1862,"San
  Benito Co. Grant",Castro,,T 12S,,,,,
AUSAYMAS Y SAN FELIPE,#233,SAN BENITO COUNTY,SAN BENITO COUNTY,,1833; 1836,Figueroa,"T 10-1 IS, R 5-6E","Ausaymas; leagues; Francisco Perez
  Pacheco; Francisco Perez Pacheco; Gutierrez","San Benito; San Felipe; Santa
  Clara",1859; 1833; 1836,,Figueroa,,"T 10-1 IS, R 5-6E",,,,Guadalaxarita,
BOLSA DE SAN FELIPE,#231,SAN BENITO COUNTY,San Benito,2 sq. leagues,1840,Alvarado,,Sebastian Nunez; Francisco Perez Pacheco; Isadora Pacheco,,1871; 1840,San Benito Co.,Alvarado,,,,,,,
LOS CARNEROS (McDougal),#246,SAN BENITO COUNTY,SAN BENITO COUNTY,1 sq. league,1842,Alvarado,"T 12S, R 3E, MDM","Monterey; Frederick A. McDougal; Juan
  Francisco Anzar; Juan Miguel Anzar; Marla Antonio Linares; Policronio Anzar; Anatolio Anzar","San
  ",1842; 1862,,Alvarado,,"T 12S, R 3E, MDM",,,,,
CIENEGA DEL GABILAN (or Gavilan),#250,SAN BENITO COUNTY,SAN BENITO COUNTY,11 sq. leagues,,Micheltorena,"T 13-
   15S, R4-5E",Jesse D. Carr; Antonio Chavis,"Benito; San
   ",1843; 1867,,Micheltorena,,"T 13-
   15S, R4-5E",,,,,
CIENEGA DE LOS PACINES,#268,SAN BENITO COUNTY,SAN BENITO COUNTY,2 sq. leagues,1842,Alvarado,"T 14S, R 6E","Jose Antonio Rodriguez; Hilaria
   Castro de Rodriguez; Angel Castro; Jose Rodriguez",,1869; 1842,San Benito Co.,Alvarado,,"T 14S, R 6E",,,,,
LLANO DEL TEQUISQUITA,#230,SAN BENITO COUNTY,SAN BENITO COUNTY,,1835,Castro,,Guadalupe Sanchez; Vicente; Refugio; Jose Maria Sanchez,San Benito; Santa; Candalaria; Gregorio,1835; 1871,,Castro,,,,,,,
LOMERIAS MUERTAS,#239,SAN BENITO COUNTY,SAN BENITO COUNTY,,1842,Alvarado,"T 13S, R 4E, MDM",Monterey; Antonio Castro; Jose; Fermin Francisco de Lasuen; Vicente Sanchez,,1797; 1842; 1859; 1866,MISION SAN JUAN BAUTISTA; J. S. Alemany; San Benito Co.; Church; Bishop; San Benito Co. Mission,Alvarado,,"T 13S, R 4E, MDM",,,,,
REAL DE LAS AGUILAS,#236,SAN BENITO COUNTY,San Benito,7 sq. leagues,1844,Micheltorena,"T 13-14S, R 5-9E, MDM","Juan Francisco Anzar; Juan Miguel Anzar; Saturnino Careaga; Policronio Anzar; Frederick A.
   ; Francisco Arias",McDougal,1869; 1844; 13-14S,San Benito Co.,Micheltorena,,"T 13-14S, R 5-9E, MDM",,,,,
SAN JOAQUIN (Cervantes),#232,SAN BENITO COUNTY,San Benito,1 sq. league,1836; 1839; 1839,Pico; Castro; Gutierrez,T 12S,"varas square; Patrick Breen; Cruz
  Cervantes; Manuel Larios; Cruz Cervantes",SAN JUAN; Larios; San Joaquin,1846; 1874; 46.; 1836; 47; 1870; 1885; 1877; 1839,San Benito Co.; San Benito Co. Grant; the Patrick Breen; Sec,Pico; Castro; Gutierrez,,T 12S,,,,Rosa Morada or San Joaquin,Missi
SAN JUSTO,#238,SAN BENITO COUNTY,SAN BENITO COUNTY,4 sq. leagues,1839,Alvarado,"T 12-13S, R 4-5E, MDM","Jose Castro; Francisco Perez
  Pacheco",,1865; 1839,San Benito Co. Grant,Alvarado,,"T 12-13S, R 4-5E, MDM",,,,,
SAN LORENZO (Sanchez),#300,SAN BENITO COUNTY,SAN BENITO COUNTY,11 sq. leagues,1846,Pico,"T 17-19S, R 8-9E, MDM","Monterey
  Cos; Rafael Sanchez",San Benito,1846; 1870,,Pico,,"T 17-19S, R 8-9E, MDM",,,,,
SANTA ANA Y QUIEN SABE,#237,SAN BENITO COUNTY,San Benito,11 sq. leagues,,Alvarado; Figueroa,T 12-13S,"Miguel Larios; Frederick A. McDougal; Juan Miguel Anzar; Manuel Larios; Juan Miguel
   Anzar; Juan Francisco; Tres Pinos; Policronio; Anatolio Anzar",,1835; 1860; 1839,San Benito Co.; Palos de Lanza; Francisco Javier Castillo Negrete,Alvarado; Figueroa,,T 12-13S,,,,Palos de Lanza and as Tres Pinos,
